US_AQI,PM2_5_ugm3,PM10_ugm3,NO2_ugm3,Temp_2m_C,Humidity_Percent
38.0,6.5,9.5,9.0,26.1,93
36.0,6.2,9.0,5.7,25.9,93
35.0,6.2,9.0,5.1,25.8,93
34.0,6.4,9.3,5.4,25.6,94
33.0,6.9,9.9,7.1,25.9,90
32.0,6.0,8.7,7.7,27.1,85
32.0,5.8,8.5,8.5,28.4,80
31.0,5.6,8.3,8.8,29.9,74
31.0,6.3,9.4,7.3,31.1,67
31.0,6.9,10.1,5.2,31.8,64
31.0,7.0,10.4,3.5,32.6,63
30.0,6.2,9.2,4.0,32.6,63
30.0,7.4,10.8,5.4,31.3,71
30.0,7.3,10.6,9.4,31.0,72
31.0,6.8,9.8,15.6,30.2,74
32.0,6.9,10.0,23.6,29.5,77
32.0,6.5,9.5,27.6,29.4,71
30.0,6.6,9.6,25.2,28.3,74
29.0,6.3,9.3,21.8,27.7,77
29.0,6.0,8.7,17.5,27.5,79
28.0,5.6,8.2,15.2,27.3,80
28.0,5.0,7.4,13.4,27.0,81
27.0,4.6,6.8,10.9,26.7,83
26.0,4.6,6.8,8.9,26.4,84
26.0,4.6,6.8,6.7,26.1,85
26.0,4.6,6.8,4.8,25.8,86
25.0,4.6,6.7,4.8,25.7,86
25.0,4.6,6.7,5.4,25.7,86
25.0,4.6,6.8,6.2,26.1,83
24.0,4.6,6.8,7.8,27.3,79
24.0,5.0,7.4,10.1,28.5,75
24.0,5.2,7.6,11.6,29.6,72
24.0,5.4,7.9,10.0,30.6,68
24.0,6.0,8.7,7.0,31.6,66
24.0,6.6,9.6,4.3,32.5,62
24.0,5.8,8.4,4.3,31.3,64
25.0,4.3,6.2,5.4,30.1,72
27.0,6.3,9.0,8.6,29.8,73
28.0,5.4,7.9,13.1,29.7,73
28.0,5.1,7.4,19.1,28.1,80
28.0,5.5,7.9,22.1,27.7,79
27.0,6.3,9.1,22.2,27.1,80
26.0,6.6,9.6,22.2,26.8,82
23.0,6.8,9.8,21.1,26.7,83
22.0,6.4,9.3,18.6,26.6,83
22.0,5.7,8.2,15.2,26.4,84
22.0,5.2,7.5,10.9,26.4,83
23.0,4.9,7.1,8.4,26.3,82
23.0,4.6,6.6,6.0,26.2,82
23.0,4.5,6.4,4.1,26.1,81
23.0,4.6,6.6,4.2,25.9,81
23.0,5.1,7.3,5.1,25.9,81
23.0,6.5,9.3,7.6,25.7,83
23.0,6.5,9.4,8.2,27.1,80
23.0,5.9,8.6,9.1,28.8,74
23.0,5.8,8.6,9.3,30.4,67
24.0,6.7,9.9,7.8,31.3,64
24.0,7.6,11.3,5.5,32.4,62
24.0,8.3,12.4,3.5,32.8,60
26.0,8.8,13.2,3.8,30.9,69
28.0,8.8,13.4,4.9,30.4,74
30.0,8.9,13.5,7.3,31.3,70
32.0,7.6,11.4,10.1,31.3,69
32.0,6.7,10.1,13.5,30.6,71
32.0,7.6,11.3,28.0,29.0,74
31.0,8.1,12.0,26.8,28.0,78
30.0,8.3,12.4,24.9,27.4,82
28.0,8.5,12.8,22.2,27.1,84
28.0,9.1,13.7,20.3,26.8,86
29.0,9.8,14.8,18.2,26.6,86
29.0,10.2,15.3,15.4,26.4,86
30.0,10.4,15.7,13.0,26.3,87
31.0,10.5,15.7,10.4,26.4,86
32.0,10.8,16.1,8.1,26.2,87
33.0,11.0,16.4,8.0,25.7,88
34.0,11.0,16.3,8.8,25.4,88
35.0,10.1,14.8,9.1,26.0,89
36.0,8.7,12.7,10.2,26.9,84
36.0,8.5,12.4,11.9,28.0,81
37.0,7.9,11.6,12.8,28.9,77
37.0,8.6,12.6,11.3,29.6,74
37.0,10.4,15.1,8.8,31.2,68
38.0,12.3,17.9,6.5,32.4,63
39.0,13.1,18.9,6.1,33.2,59
39.0,13.2,19.0,6.4,33.7,57
40.0,13.1,18.9,10.4,33.4,57
41.0,13.0,18.7,19.2,31.6,66
42.0,11.6,16.7,31.0,30.7,71
43.0,10.7,15.5,36.5,30.0,74
43.0,11.0,16.1,36.7,29.2,76
44.0,10.9,16.0,36.8,28.7,79
44.0,10.1,15.1,35.0,28.1,83
44.0,9.9,14.8,31.1,27.5,86
45.0,10.1,15.0,25.6,27.2,88
45.0,10.2,15.1,19.0,26.9,89
45.0,10.4,15.4,15.3,26.7,90
45.0,10.6,15.5,12.2,26.4,91
45.0,10.7,15.7,9.4,26.1,92
45.0,10.5,15.3,8.7,25.7,93
45.0,10.1,14.5,8.9,25.6,94
44.0,9.7,13.9,10.9,26.1,91
44.0,7.1,10.3,12.1,26.7,90
44.0,5.8,8.4,13.8,27.5,88
44.0,5.5,7.9,14.8,28.5,82
43.0,7.0,10.1,13.5,29.5,77
43.0,8.8,12.7,11.2,30.3,73
43.0,8.7,12.6,9.1,31.0,69
42.0,9.1,13.1,8.6,31.7,66
41.0,9.1,13.0,8.8,31.7,65
41.0,8.1,11.7,12.0,32.1,63
40.0,6.9,9.9,19.3,29.7,73
39.0,6.4,9.2,29.2,29.0,79
38.0,6.7,9.6,33.2,28.2,83
37.0,5.4,7.7,29.8,27.8,84
36.0,4.6,6.6,25.0,27.4,86
35.0,4.2,6.0,19.2,27.4,87
34.0,4.0,5.7,17.0,27.4,86
33.0,4.2,6.1,15.4,27.5,82
32.0,5.0,7.2,13.5,27.1,80
31.0,6.4,9.2,11.4,27.0,79
30.0,7.6,10.9,9.2,26.7,80
30.0,8.0,11.4,6.9,26.2,85
29.0,7.1,10.2,5.8,26.4,87
29.0,5.7,8.1,5.3,26.6,86
28.0,5.5,7.9,5.8,25.9,88
27.0,4.7,6.8,6.8,27.2,84
27.0,4.7,6.8,8.1,28.7,74
27.0,4.7,6.9,9.1,29.7,70
26.0,5.7,8.5,8.0,31.0,68
26.0,6.4,9.7,6.0,31.3,65
26.0,6.5,9.9,5.0,29.8,68
25.0,7.8,11.7,6.8,27.4,87
26.0,7.9,11.9,10.1,29.5,79
27.0,9.3,13.9,15.1,29.4,78
28.0,9.8,14.8,19.5,28.6,81
28.0,9.5,14.5,24.2,28.2,83
27.0,9.7,14.6,32.5,27.9,81
27.0,10.2,15.5,33.1,27.2,83
28.0,10.8,16.3,33.8,27.0,85
29.0,10.8,16.2,33.0,26.8,87
30.0,10.2,15.4,29.5,26.7,88
31.0,9.6,14.4,24.6,26.3,89
32.0,8.9,13.4,18.5,26.1,90
33.0,8.9,13.2,15.1,26.0,91
33.0,9.1,13.6,11.9,25.9,91
33.0,9.1,13.4,9.1,25.6,93
33.0,9.0,13.2,8.6,25.4,93
34.0,9.1,13.4,8.9,25.2,93
34.0,9.3,13.7,10.8,25.6,93
35.0,8.8,13.2,11.6,26.8,88
36.0,8.7,13.2,12.8,28.5,80
36.0,8.6,13.2,13.1,29.8,74
37.0,9.7,14.8,11.4,30.8,69
38.0,10.9,16.6,8.6,31.8,69
39.0,10.5,16.3,5.8,32.5,66
39.0,10.2,16.1,4.5,31.0,71
40.0,12.2,19.3,3.6,31.8,70
40.0,11.8,18.5,6.3,31.4,67
41.0,11.3,17.7,14.2,30.6,73
41.0,11.0,17.2,25.3,30.8,72
41.0,13.6,20.8,33.8,28.8,85
42.0,15.3,22.9,35.8,28.2,85
43.0,17.0,25.4,38.7,27.8,86
44.0,18.4,27.4,40.7,27.3,89
45.0,18.0,26.9,39.5,27.0,90
47.0,17.2,25.8,36.8,26.7,91
48.0,16.5,25.0,31.9,26.5,92
49.0,16.4,25.0,26.4,26.2,93
50.0,16.2,24.9,19.7,25.8,95
51.0,16.0,24.7,12.9,25.6,96
52.0,15.8,24.3,11.1,25.3,97
52.0,16.2,24.9,11.1,25.2,97
53.0,20.8,31.2,21.4,25.8,95
54.0,16.9,25.8,19.9,27.0,90
55.0,14.6,22.5,17.9,28.1,86
55.0,13.1,20.9,15.1,29.5,80
55.0,14.2,23.1,13.4,30.5,75
56.0,15.5,25.5,11.8,31.4,71
56.0,16.9,27.8,10.3,31.9,68
57.0,18.3,29.8,8.6,32.5,64
58.0,19.3,31.3,6.9,32.2,68
58.0,20.1,32.5,11.6,32.5,68
59.0,20.5,33.1,25.6,31.8,69
60.0,21.1,33.6,45.3,31.8,68
61.0,24.9,38.9,49.1,30.7,81
62.0,27.4,42.1,51.5,29.3,80
63.0,26.5,40.5,54.8,28.7,81
64.0,25.6,38.8,56.2,28.3,82
64.0,23.9,35.9,53.2,28.0,85
65.0,22.4,33.3,47.9,27.5,88
65.0,21.4,31.4,39.9,27.2,91
66.0,21.0,30.7,33.0,26.9,93
66.0,21.8,31.8,25.5,26.6,96
67.0,21.2,31.3,18.6,26.3,97
67.0,22.2,32.9,18.2,26.1,98
68.0,24.1,35.5,20.5,25.9,99
68.0,28.0,40.3,27.4,26.5,94
69.0,26.5,38.3,26.8,27.6,90
70.0,24.6,36.4,26.0,28.9,84
71.0,26.8,39.8,23.9,29.9,81
72.0,28.4,42.1,20.6,31.1,76
73.0,30.0,44.1,16.5,32.2,71
74.0,29.7,43.3,12.4,32.6,69
76.0,32.5,47.3,9.6,32.8,68
77.0,35.5,51.7,7.4,33.1,67
78.0,37.3,54.0,12.3,33.3,67
81.0,37.6,54.5,26.8,32.4,70
105.0,37.6,54.2,47.4,32.4,69
116.0,48.2,69.4,68.6,31.7,78
116.0,57.7,83.1,80.9,30.5,77
108.0,68.0,97.8,98.3,29.6,82
91.0,72.6,104.3,113.8,29.1,85
95.0,70.3,101.0,112.6,28.8,85
99.0,69.8,100.1,104.8,28.5,86
104.0,79.6,114.3,92.9,28.2,88
110.0,82.2,117.8,85.1,27.8,89
117.0,81.5,116.6,76.7,27.3,92
123.0,81.3,116.2,67.7,26.9,94
129.0,81.5,116.4,64.3,27.0,93
135.0,82.0,117.1,62.8,27.0,93
141.0,78.9,112.9,81.5,27.7,92
147.0,71.9,103.1,73.6,29.3,87
150.0,59.1,85.0,62.2,30.9,80
151.0,44.9,65.0,46.5,32.4,72
151.0,38.4,55.6,34.9,33.8,66
152.0,33.8,48.9,22.9,34.7,62
152.0,31.0,44.8,11.2,35.7,59
152.0,29.4,42.5,6.8,36.3,57
152.0,27.1,39.1,5.4,36.8,55
152.0,25.6,36.9,10.9,36.6,56
151.0,23.6,34.0,24.4,36.2,56
151.0,23.4,33.8,43.6,31.5,75
151.0,22.1,31.8,61.6,28.0,89
150.0,20.3,29.2,61.6,27.8,91
146.0,20.0,28.6,61.5,28.2,89
141.0,20.8,29.7,58.2,28.9,88
136.0,20.0,28.5,51.4,28.5,89
131.0,20.3,28.9,42.2,28.0,92
126.0,21.4,30.5,31.0,28.0,89
120.0,22.3,31.9,25.0,27.5,91
113.0,23.5,33.6,19.9,26.6,96
107.0,23.9,34.2,15.8,26.2,97
101.0,24.9,35.5,15.7,26.2,96
96.0,25.6,36.7,17.5,26.1,95
91.0,26.5,38.0,22.1,25.8,94
87.0,22.6,32.2,20.9,27.2,91
82.0,17.5,25.1,19.1,28.9,87
78.0,15.1,21.6,16.2,30.4,77
76.0,14.1,20.1,13.1,31.0,74
74.0,13.5,19.3,9.6,31.9,70
72.0,13.2,18.9,6.6,32.8,65
70.0,12.8,18.3,6.1,33.8,61
69.0,12.0,17.1,6.7,33.8,59
67.0,11.3,16.2,10.0,33.8,57
66.0,9.3,13.3,16.4,30.5,70
65.0,8.2,11.8,24.9,29.4,79
64.0,7.7,11.1,32.2,30.1,72
62.0,7.5,10.8,29.2,29.6,70
61.0,7.2,10.5,25.0,29.3,72
60.0,7.0,10.2,19.5,28.9,73
59.0,6.8,10.0,16.1,28.6,74
58.0,6.5,9.5,13.0,28.3,75
56.0,6.1,9.0,9.5,28.1,75
55.0,6.2,9.1,7.3,27.9,75
54.0,6.7,9.8,5.7,27.6,76
52.0,7.3,10.7,4.6,27.3,77
51.0,8.1,11.7,5.2,26.9,79
48.0,8.9,12.9,6.6,26.7,80
46.0,7.8,11.4,8.4,27.1,80
42.0,7.5,11.2,9.1,28.3,77
40.0,8.1,11.9,10.0,29.5,74
38.0,7.7,11.6,10.4,30.7,69
37.0,8.2,12.4,9.1,31.6,68
36.0,9.3,13.9,7.2,32.3,66
35.0,9.9,14.9,5.2,32.9,65
34.0,10.1,15.1,4.2,30.0,79
34.0,9.6,14.5,3.5,31.3,72
34.0,9.7,14.8,6.8,30.4,74
33.0,10.3,15.8,15.9,30.1,77
34.0,11.0,16.6,28.5,30.1,75
34.0,11.9,17.8,40.7,30.3,70
35.0,12.9,19.3,39.5,29.6,72
36.0,12.5,18.9,37.8,29.0,75
36.0,12.0,18.3,34.2,28.3,81
37.0,11.8,17.9,30.0,27.9,84
38.0,11.5,17.3,24.7,27.4,86
39.0,11.2,16.7,18.5,27.1,88
40.0,11.1,16.4,14.9,26.8,90
41.0,11.0,16.1,12.1,26.6,91
42.0,11.2,16.4,9.7,26.4,92
42.0,11.6,17.0,9.6,26.1,93
43.0,11.7,17.1,10.4,25.8,95
43.0,13.5,19.7,14.6,26.3,91
44.0,11.6,17.1,14.7,27.5,84
45.0,9.5,14.1,14.8,28.8,79
45.0,9.5,14.2,14.1,30.1,73
46.0,10.6,16.0,12.2,31.0,71
46.0,12.0,18.2,9.8,32.1,68
46.0,13.0,19.8,7.4,32.6,65
47.0,13.4,20.5,6.2,32.8,64
48.0,13.3,20.4,5.4,33.3,64
48.0,13.6,20.8,9.4,30.3,76
49.0,13.7,21.0,19.9,29.8,78
49.0,14.4,22.0,34.5,30.2,76
50.0,17.8,26.8,45.2,30.8,74
51.0,17.7,26.3,44.5,29.6,79
51.0,17.1,25.1,43.5,29.3,81
51.0,15.9,23.6,40.8,28.8,83
52.0,15.4,22.9,37.3,28.5,84
52.0,15.3,22.9,32.8,28.1,86
52.0,15.1,22.6,26.8,27.6,89
53.0,14.7,21.9,22.2,27.3,91
53.0,14.8,22.1,17.6,26.6,93
53.0,15.4,22.9,13.1,26.3,94
54.0,15.4,22.8,11.7,26.1,96
54.0,15.2,22.5,11.5,26.1,95
54.0,13.7,20.3,14.4,25.9,94
54.0,10.3,15.2,16.9,26.9,91
54.0,9.8,14.3,20.5,28.2,85
54.0,10.2,14.9,23.4,29.7,77
54.0,11.1,16.2,22.3,31.2,70
54.0,12.7,18.5,19.6,32.2,67
55.0,14.6,21.3,16.3,32.9,65
55.0,15.1,22.0,13.0,33.3,64
55.0,15.3,22.5,9.4,33.7,63
55.0,15.5,22.9,12.9,33.6,62
55.0,15.9,23.6,28.9,32.0,70
55.0,17.2,25.4,51.9,30.2,80
56.0,21.9,32.1,59.5,28.3,85
56.0,26.7,38.9,57.0,27.1,88
57.0,19.3,28.2,53.3,26.7,91
57.0,17.5,25.3,49.4,26.5,93
57.0,18.4,26.6,48.8,26.6,93
57.0,18.9,27.4,49.3,26.4,94
58.0,19.8,28.6,48.2,26.3,95
58.0,21.3,30.7,44.7,26.3,96
59.0,20.5,29.6,39.7,25.8,97
59.0,18.3,26.4,32.8,25.9,96
59.0,15.0,21.5,27.1,25.7,97
59.0,13.6,19.6,21.2,25.6,96
59.0,10.7,15.3,15.9,25.5,95
59.0,7.5,10.7,16.5,26.1,91
59.0,7.1,10.1,17.4,26.5,90
59.0,7.5,10.7,17.2,27.5,84
58.0,8.6,12.3,15.0,29.6,76
58.0,9.9,14.1,11.6,30.5,73
58.0,10.5,15.1,8.1,31.2,69
57.0,10.5,15.0,5.9,32.1,66
57.0,10.4,14.8,4.2,32.0,68
57.0,8.5,12.2,6.6,31.0,72
56.0,9.3,13.3,15.4,29.1,82
55.0,9.4,13.5,28.0,28.5,84
55.0,13.3,19.0,39.0,29.2,81
54.0,14.2,20.4,40.2,28.2,84
53.0,14.5,20.7,42.0,27.6,86
52.0,14.5,20.8,41.8,27.1,89
52.0,14.4,20.6,37.8,27.0,89
52.0,14.1,20.3,31.9,26.5,93
51.0,13.9,19.8,24.3,26.5,92
51.0,13.8,19.8,19.8,26.2,93
50.0,13.9,19.9,15.6,25.9,95
49.0,13.4,19.2,11.7,25.7,96
48.0,13.1,18.7,10.8,25.5,96
48.0,12.6,18.0,11.1,25.3,96
48.0,12.9,18.3,13.3,25.8,94
48.0,11.1,15.9,12.9,27.2,84
49.0,7.8,11.1,12.4,28.3,79
49.0,6.6,9.5,11.3,29.4,73
49.0,6.9,9.9,9.6,30.8,67
49.0,8.0,11.4,7.5,31.8,64
48.0,8.6,12.3,5.6,32.6,60
48.0,8.8,12.6,4.8,32.4,60
48.0,9.1,13.0,4.7,32.4,61
47.0,9.5,13.7,7.8,31.8,64
48.0,9.3,13.4,15.4,31.4,67
48.0,8.8,12.8,25.7,30.3,72
47.0,9.1,13.3,31.5,28.9,74
47.0,10.1,14.9,34.7,28.1,77
46.0,11.5,16.8,39.2,27.2,83
45.0,11.9,17.5,42.5,26.6,86
45.0,12.2,18.0,41.0,26.2,88
45.0,12.5,18.5,37.2,25.8,90
44.0,12.7,18.7,31.2,25.5,93
44.0,13.4,19.8,25.8,25.2,95
44.0,13.8,20.2,19.5,25.0,96
44.0,13.8,20.1,13.8,24.9,96
44.0,14.2,20.6,13.3,24.7,96
44.0,15.0,21.8,14.9,24.7,96
45.0,15.5,22.2,17.1,24.9,96
45.0,14.7,21.2,18.4,26.4,91
46.0,14.3,21.3,20.1,28.1,83
47.0,16.6,24.8,20.6,29.6,76
49.0,19.7,29.3,18.0,30.8,69
50.0,21.4,31.5,13.9,31.9,65
52.0,21.7,31.9,9.6,32.4,61
53.0,22.1,32.6,6.8,32.8,59
54.0,22.1,32.5,4.4,32.8,59
55.0,22.0,32.4,9.9,32.7,60
56.0,22.6,33.2,26.9,32.4,62
57.0,23.3,34.3,51.0,32.2,64
59.0,33.2,48.4,79.2,30.2,73
61.0,44.7,65.0,80.9,28.7,83
64.0,48.1,69.6,83.3,29.4,74
67.0,46.8,67.8,82.8,28.1,80
70.0,44.0,64.0,76.8,27.6,82
73.0,39.6,57.7,67.7,26.8,87
75.0,33.9,49.7,56.4,26.4,89
77.0,29.5,43.2,50.5,26.3,89
79.0,26.7,39.2,45.4,26.0,91
80.0,25.4,37.0,40.0,25.8,92
81.0,24.8,36.0,37.0,25.6,93
82.0,25.1,36.3,34.9,25.4,95
83.0,22.9,33.3,34.4,26.1,93
83.0,20.8,30.7,33.3,27.8,89
84.0,20.5,31.0,31.9,29.2,84
85.0,22.2,33.6,28.6,30.1,80
85.0,21.1,32.1,24.4,30.9,76
85.0,20.9,31.8,19.2,31.7,72
85.0,21.1,31.8,13.9,32.4,69
85.0,20.0,30.0,10.9,32.4,68
85.0,19.9,29.8,8.7,32.5,68
85.0,19.8,29.6,13.1,32.7,68
84.0,20.2,30.2,27.0,32.3,68
84.0,20.5,30.7,47.0,31.1,73
84.0,26.0,38.4,61.0,29.8,84
83.0,33.9,49.6,64.1,29.2,84
82.0,36.1,52.7,68.3,28.5,89
81.0,36.9,53.9,70.6,28.2,90
80.0,36.1,52.7,67.2,28.1,88
80.0,33.3,48.5,61.0,27.8,86
79.0,29.6,43.2,51.7,27.5,85
79.0,26.4,38.6,44.5,27.2,87
79.0,24.0,35.4,36.7,27.0,89
78.0,22.6,33.4,27.3,26.9,90
78.0,20.6,30.6,21.6,26.5,91
78.0,18.6,27.6,16.6,25.9,93
77.0,24.4,35.9,23.0,25.7,93
77.0,22.3,33.2,23.5,26.8,91
77.0,20.8,31.4,24.1,27.3,89
77.0,21.4,32.4,24.0,27.9,87
77.0,23.5,35.4,22.5,28.4,85
78.0,25.2,37.7,20.2,29.0,81
78.0,27.0,40.2,17.2,29.8,77
78.0,27.1,40.2,14.5,30.5,72
79.0,25.0,37.0,11.6,30.4,71
80.0,24.4,36.2,11.6,30.3,73
80.0,24.7,36.6,17.5,30.3,72
80.0,22.8,33.9,26.5,30.1,72
81.0,17.8,26.0,40.1,27.9,83
80.0,16.2,23.9,38.9,27.3,86
78.0,14.9,22.0,37.2,26.9,88
76.0,14.1,20.9,34.2,26.7,89
74.0,13.7,20.4,31.6,26.5,90
72.0,13.6,20.4,28.6,26.3,91
71.0,13.7,20.5,24.2,26.2,90
69.0,13.7,20.7,20.1,26.1,89
68.0,13.6,20.5,15.5,26.1,89
67.0,13.5,20.4,11.1,25.9,90
66.0,13.1,19.7,10.4,25.9,90
66.0,12.3,18.5,10.9,25.8,91
65.0,12.8,19.4,12.0,25.7,93
64.0,13.1,20.0,12.9,26.4,89
63.0,12.1,18.9,14.3,27.1,86
63.0,12.6,19.9,14.8,28.5,79
62.0,13.8,21.8,12.6,29.8,75
61.0,14.4,22.8,9.3,30.1,74
60.0,14.1,22.3,6.7,31.5,70
59.0,13.1,20.9,7.3,32.0,66
58.0,14.3,23.0,9.4,31.6,66
57.0,16.4,25.6,14.3,31.7,67
56.0,14.8,23.0,20.6,31.1,70
55.0,13.4,20.5,28.6,30.4,69
54.0,17.6,26.7,44.2,29.4,77
54.0,20.5,30.7,46.5,28.2,81
55.0,25.5,37.8,49.8,27.6,84
55.0,32.5,47.7,51.8,27.2,87
57.0,39.3,57.5,50.0,26.7,90
59.0,40.6,59.0,46.3,26.4,91
62.0,35.6,51.8,41.3,26.1,93
64.0,29.1,42.3,38.2,25.9,93
65.0,23.8,34.6,35.2,25.8,94
66.0,21.1,30.6,31.7,25.5,95
67.0,21.4,31.1,29.8,25.3,96
67.0,22.7,32.9,28.2,25.1,97
68.0,21.8,31.7,23.4,25.5,96
69.0,18.8,27.4,21.9,27.1,91
70.0,13.5,20.0,19.8,28.7,82
70.0,12.2,18.4,17.0,29.9,75
70.0,13.0,19.7,15.4,31.1,68
70.0,14.7,22.4,13.7,31.9,64
70.0,15.3,23.6,12.1,32.7,60
70.0,15.3,23.6,10.2,33.2,58
70.0,14.8,23.0,8.3,33.3,57
70.0,14.8,22.8,11.1,33.1,58
70.0,15.5,23.8,21.3,33.0,58
70.0,16.0,24.6,35.8,32.4,63
70.0,28.2,42.4,61.9,30.4,82
71.0,34.1,50.9,61.8,29.2,83
72.0,38.6,57.0,61.8,28.7,84
73.0,41.0,60.1,60.2,28.2,83
74.0,43.2,63.1,57.2,27.7,85
75.0,46.7,68.0,53.2,27.2,88
75.0,44.8,65.2,47.7,26.8,91
76.0,39.3,56.9,43.5,26.6,91
77.0,34.9,50.4,39.2,26.4,91
78.0,34.3,49.5,34.7,26.1,93
79.0,35.5,51.1,32.9,25.9,94
80.0,37.6,54.1,32.0,25.8,94
82.0,32.5,46.9,29.6,26.4,93
82.0,24.5,35.5,28.5,28.0,88
83.0,19.0,27.8,26.9,29.4,83
83.0,16.9,24.7,24.4,30.8,76
84.0,16.9,24.8,22.0,31.8,71
84.0,17.5,25.8,19.5,32.7,66
85.0,17.5,26.1,16.4,33.3,62
85.0,17.3,25.8,13.3,33.7,59
85.0,17.1,25.6,10.1,33.7,58
85.0,16.5,24.8,12.2,33.6,57
85.0,17.4,26.2,22.9,33.7,56
85.0,18.7,28.1,38.8,32.7,62
86.0,28.0,41.7,63.6,31.1,77
86.0,32.1,47.5,62.7,29.6,78
85.0,34.1,50.3,61.2,29.2,78
85.0,35.0,51.5,58.4,29.8,70
85.0,32.7,47.8,55.1,28.0,80
84.0,30.9,45.1,51.0,27.4,83
82.0,30.0,43.7,45.8,27.1,85
81.0,27.6,39.9,42.5,26.9,86
80.0,25.6,36.8,39.3,26.6,87
79.0,24.9,35.6,35.0,26.4,87
78.0,24.6,35.2,31.4,26.3,87
77.0,24.8,35.5,27.7,26.3,88
76.0,24.7,35.3,22.9,26.6,89
75.0,23.2,33.2,21.9,28.0,86
75.0,19.8,28.5,20.3,29.4,81
75.0,14.8,21.4,17.9,30.7,73
75.0,14.3,20.9,15.6,31.5,70
75.0,13.2,19.4,13.1,32.4,66
75.0,14.8,21.8,10.4,33.1,61
